Action	Utilisateur	Nom	Condition	Exceptions
Autoriser	Tout le monde	C:: WINOBJ sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: SYSINTERNALS ZOOMIT sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: VLC MEDIA PLAYER sign¨¦ par O=VIDEOLAN, L=PARIS, C=FR	¨¦diteur	
Autoriser	Tout le monde	C:: ADOBE CEF HELPER sign¨¦ par O=ADOBE SYSTEMS INCORPORATED, L=SAN JOSE, S=CALIFORNIA, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: WINGUP FOR NOTEPAD++ sign¨¦ par O=NOTEPAD++, L=SAINT CLOUD, S=ILE-DE-FRANCE, C=FR	¨¦diteur	
Autoriser	Tout le monde	C:: %OSDRIVE%\USERS\I241001\DOCUMENTS\ADMIN\*	Chemin d¡¯acc¨¨s	
Autoriser	Tout le monde	C:: MICROSOFT ENTITY FRAMEWORK sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: TEHTRIS EDR sign¨¦ par O=TEHTRI-SECURITY S.A.S, L=PARIS, S=ILE-DE-FRANCE, C=FR	¨¦diteur	
Autoriser	Tout le monde	C:: TEHTRIS EPP AGENT sign¨¦ par O=TEHTRI-SECURITY S.A.S, L=PARIS, S=ILE-DE-FRANCE, C=FR	¨¦diteur	
Autoriser	Tout le monde	C:: %OSDRIVE%\USERS\I241001\APPDATA\ROAMING\PYTHON\PYTHON313\SCRIPTS\*	Chemin d¡¯acc¨¨s	
Autoriser	Tout le monde	C:: %OSDRIVE%\USERS\I241001\APPDATA\LOCAL\PACKAGES\PYTHONSOFTWAREFOUNDATION.PYTHON.3.12_QBZ5N2KFRA8P0\LOCALCACHE\LOCAL-PACKAGES\PYTHON312\SITE-PACKAGES\SETUPTOOLS\*	Chemin d¡¯acc¨¨s	
Autoriser	Tout le monde	C:: %OSDRIVE%\USERS\I241001\APPDATA\LOCAL\PACKAGES\PYTHONSOFTWAREFOUNDATION.PYTHON.3.12_QBZ5N2KFRA8P0\LOCALCACHE\LOCAL-PACKAGES\PYTHON312\SITE-PACKAGES\PIP\_VENDOR\DISTLIB\*	Chemin d¡¯acc¨¨s	
Autoriser	Tout le monde	C:: %OSDRIVE%\USERS\I241001\APPDATA\LOCAL\PACKAGES\PYTHONSOFTWAREFOUNDATION.PYTHON.3.12_QBZ5N2KFRA8P0\LOCALCACHE\LOCAL-PACKAGES\PYTHON312\SCRIPTS\*	Chemin d¡¯acc¨¨s	
Autoriser	Tout le monde	C:: %OSDRIVE%\USERS\HAKKYAHUD\SOURCE\REPOS\TEST\TEST\X64\DEBUG\*	Chemin d¡¯acc¨¨s	
Autoriser	Tout le monde	C:: %OSDRIVE%\USERS\HAKKYAHUD\SOURCE\REPOS\FIRSTTEST\FIRSTTEST\OBJ\DEBUG\NET8.0\*	Chemin d¡¯acc¨¨s	
Autoriser	Tout le monde	C:: %OSDRIVE%\USERS\HAKKYAHUD\SOURCE\REPOS\FIRSTTEST\FIRSTTEST\BIN\DEBUG\NET8.0\*	Chemin d¡¯acc¨¨s	
Autoriser	Tout le monde	C:: NITRO PRO INSTALLER sign¨¦ par O=NITRO SOFTWARE, INC., L=SAN FRANCISCO, S=CALIFORNIA, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: %OSDRIVE%\USERS\HAKKYAHUD\DOWNLOADS\SYMBOLICLINK-TESTING-TOOLS-MAIN\DEBUG\*	Chemin d¡¯acc¨¨s	
Autoriser	Tout le monde	C:: %OSDRIVE%\USERS\HAKKYAHUD\DOWNLOADS\SUBLIME TEXT BUILD 3211 X64\*	Chemin d¡¯acc¨¨s	
Autoriser	Tout le monde	C:: %OSDRIVE%\USERS\HAKKYAHUD\DOWNLOADS\REGRIPPER3.0-MASTER\*	Chemin d¡¯acc¨¨s	
